,Country/Region,Date,Province/State,Confirmed,Deaths,Recovered,GDP,Unemployment,CPI
53,Cabo Verde,2022-01-01,0,42463.0,352.0,0.0,2303738020.15148,12.272,122.222274152969
54,Cambodia,2021-01-01,0,379.0,0.0,362.0,26961061151.7337,0.396,137.850836238126
55,Cambodia,2022-01-01,0,120507.0,3012.0,0.0,29504829319.3169,0.247,145.217175025789
56,Cameroon,2021-01-01,0,26848.0,448.0,24892.0,44993521774.066,3.951,124.302010149149
57,Cameroon,2022-01-01,0,109367.0,1851.0,0.0,43644068310.851,3.687,132.067998413642
58,Canada,2021-01-01,AlbertaBritish ColumbiaDiamond PrincessGrand PrincessManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecRepatriated TravellersSaskatchewanYukon,596582.0,15819.0,494437.0,2007472181464.15,7.527,121.587006296508
59,Canada,2022-01-01,AlbertaBritish ColumbiaDiamond PrincessGrand PrincessManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecRepatriated TravellersSaskatchewanYukon,2256747.0,30340.0,0.0,2161483369422.01,5.28,129.858328563251
60,Central African Republic,2021-01-01,0,4963.0,63.0,1924.0,2516498412.46384,6.676,160.95649049113
61,Central African Republic,2022-01-01,0,12163.0,101.0,0.0,2382618615.01694,6.337,169.942960718886
62,Chad,2021-01-01,0,2141.0,104.0,1704.0,11779981332.16,1.511,122.00219164626
63,Chad,2022-01-01,0,6183.0,184.0,0.0,12396807590.173,1.104,129.063711291026
64,Chile,2021-01-01,0,612564.0,16660.0,579203.0,315515014838.539,9.325,142.081272844549
65,Chile,2022-01-01,0,1808398.0,39140.0,0.0,302116539409.03,8.299,158.625026875941
66,China,2021-01-01,AnhuiBeijingChongqingFujianGansuGuangdongGuangxiGuizhouHainanHebeiHeilongjiangHenanHong KongHubeiHunanInner MongoliaJiangsuJiangxiJilinLiaoningMacauNingxiaQinghaiShaanxiShandongShanghaiShanxiSichuanTianjinTibetUnknownXinjiangYunnanZhejiang,102649.0,4884.0,90031.0,17820459508852.2,4.55,129.366216637457
67,China,2022-01-01,AnhuiBeijingChongqingFujianGansuGuangdongGuangxiGuizhouHainanHebeiHeilongjiangHenanHong KongHubeiHunanInner MongoliaJiangsuJiangxiJilinLiaoningMacauNingxiaQinghaiShaanxiShandongShanghaiShanxiSichuanTianjinTibetUnknownXinjiangYunnanZhejiang,128132.0,5103.0,0.0,17881783387000.9,4.98,131.919356668535
68,Colombia,2021-01-01,0,1654880.0,43495.0,1520548.0,318524633225.395,13.898,149.559763199866
69,Colombia,2022-01-01,0,5169855.0,129986.0,0.0,345329875078.512,10.547,164.780806314133
70,Comoros,2021-01-01,0,823.0,10.0,705.0,1296089479.91978,5.857,164.780806314133
71,Comoros,2022-01-01,0,6688.0,157.0,0.0,1242519407.77603,5.854,164.780806314133
72,Costa Rica,2021-01-01,0,169321.0,2185.0,131923.0,64960725734.1965,15.139,132.020379357515
73,Costa Rica,2022-01-01,0,570556.0,7353.0,0.0,69243626028.5936,11.325,142.944768574546
74,Cote d'Ivoire,2021-01-01,0,22563.0,138.0,21981.0,72794636653.7793,2.59,118.991105987766
75,Cote d'Ivoire,2022-01-01,0,71815.0,718.0,0.0,70173140101.4315,2.434,125.269275743533
76,Croatia,2021-01-01,0,212007.0,3961.0,199820.0,69602166351.4771,7.608,112.795275590551
77,Croatia,2022-01-01,0,720538.0,12571.0,0.0,71997070660.4835,6.96,124.955261274159
78,Cuba,2021-01-01,0,12056.0,146.0,10345.0,71997070660.4835,1.373,124.955261274159
79,Cuba,2022-01-01,0,966473.0,8323.0,0.0,71997070660.4835,1.254,124.955261274159
80,Cyprus,2021-01-01,0,23108.0,126.0,2057.0,29482912835.3642,7.513,104.348039621067
81,Cyprus,2022-01-01,0,169159.0,638.0,0.0,29250532020.0746,6.807,113.108561527348
82,Czechia,2021-01-01,0,732022.0,11711.0,600073.0,281791218507.1,2.803,124.771546317864
83,Czechia,2022-01-01,0,2480736.0,36182.0,0.0,290565654835.809,2.224,143.612255868124
84,Denmark,2021-01-01,Faroe IslandsGreenland,166567.0,1322.0,131390.0,405687998852.691,5.043,112.864922774752
85,Denmark,2022-01-01,Faroe IslandsGreenland,831974.0,3287.0,0.0,400167196948.707,4.434,121.55164717436
86,Djibouti,2021-01-01,0,5840.0,61.0,5735.0,3385825228.86997,27.548,123.834800404194
87,Djibouti,2022-01-01,0,13668.0,189.0,0.0,3674298479.07676,26.367,130.249205896313
88,Dominica,2021-01-01,0,88.0,0.0,83.0,555266666.666667,26.367,106.218256661718
89,Dominica,2022-01-01,0,6862.0,47.0,0.0,607159259.259259,26.367,114.482690539567
90,Dominican Republic,2021-01-01,0,172218.0,2416.0,131543.0,94243425938.3647,7.702,148.476613026712
91,Dominican Republic,2022-01-01,0,419927.0,4247.0,0.0,113537368176.13,5.504,161.559024136759
92,Ecuador,2021-01-01,0,213378.0,14051.0,184507.0,107435101000.0,4.552,123.886850743311
93,Ecuador,2022-01-01,0,551620.0,33682.0,0.0,116586079000.0,3.761,128.180979253477
94,El Salvador,2021-01-01,0,46515.0,1327.0,45960.0,29043140000.0,4.327,114.656913864201
95,El Salvador,2022-01-01,0,121945.0,3824.0,0.0,31988920000.0,2.999,122.910624989713
96,Equatorial Guinea,2021-01-01,0,5277.0,86.0,5136.0,12215878032.7166,9.194,130.14745508982
97,Equatorial Guinea,2022-01-01,0,13710.0,175.0,0.0,13486788878.9757,8.746,136.377245508982
98,Eritrea,2021-01-01,0,1320.0,3.0,643.0,13486788878.9757,6.341,136.377245508982
99,Eritrea,2022-01-01,0,8026.0,76.0,0.0,13486788878.9757,5.941,136.377245508982
100,Estonia,2021-01-01,0,28406.0,234.0,19027.0,36864792511.6351,6.178,127.257572871023
101,Estonia,2022-01-01,0,242123.0,1938.0,0.0,37921480881.5429,5.571,151.94333206325
102,Eswatini,2021-01-01,0,9482.0,216.0,7073.0,4850842540.99267,35.707,151.94333206325
103,Eswatini,2022-01-01,0,66241.0,1308.0,0.0,4790922788.70864,37.852,151.94333206325
104,Ethiopia,2021-01-01,0,124652.0,1937.0,112251.0,111261882958.426,3.935,492.356913864236
105,Ethiopia,2022-01-01,0,424340.0,6947.0,0.0,126772703047.701,3.493,659.216079717136
106,Fiji,2021-01-01,0,49.0,2.0,44.0,4305031649.74189,4.678,129.064651874522
107,Fiji,2022-01-01,0,54147.0,700.0,0.0,4979979531.2725,4.481,134.898622800306
108,Finland,2021-01-01,0,36676.0,598.0,29000.0,296470417085.267,7.606,115.130462665656
109,Finland,2022-01-01,0,277700.0,1728.0,0.0,281887430795.721,6.719,123.331790076698
110,France,2021-01-01,French GuianaFrench PolynesiaGuadeloupeMartiniqueMayotteNew CaledoniaReunionSaint BarthelemySaint Pierre and MiquelonSt MartinWallis and Futuna,2697018.0,64891.0,200822.0,2959355819170.5,7.874,112.388921149413
111,France,2022-01-01,French GuianaFrench PolynesiaGuadeloupeMartiniqueMayotteNew CaledoniaReunionSaint BarthelemySaint Pierre and MiquelonSt MartinWallis and Futuna,10296909.0,124839.0,0.0,2779092236505.85,7.308,118.258283622798
112,Gabon,2021-01-01,0,9571.0,64.0,9388.0,20217946921.2065,21.233,125.637671569116
113,Gabon,2022-01-01,0,41798.0,288.0,0.0,21071739227.9422,20.501,130.953713012953
114,Georgia,2021-01-01,0,228410.0,2528.0,214992.0,18853115588.8106,11.794,154.011208333333
115,Georgia,2022-01-01,0,936844.0,13850.0,0.0,24984568959.605,11.657,172.335716666667
116,Germany,2021-01-01,0,1719737.0,33071.0,1388744.0,4278503934689.85,3.638,116.484275880086
117,Germany,2022-01-01,0,7109182.0,111602.0,0.0,4082469490797.68,3.135,124.489744387368
118,Ghana,2021-01-01,0,54930.0,335.0,53758.0,79524421861.2743,3.338,336.492909542398
119,Ghana,2022-01-01,0,143997.0,1298.0,0.0,74263364041.8742,3.084,441.666780384402
120,Greece,2021-01-01,0,139447.0,4881.0,93764.0,214667807441.202,14.657,101.909213734394
121,Greece,2022-01-01,0,1240862.0,20849.0,0.0,217581324512.059,12.426,111.738622172264
122,Grenada,2021-01-01,0,127.0,0.0,107.0,1122800000.0,12.426,108.57648052784
123,Grenada,2022-01-01,0,6299.0,200.0,0.0,1224577777.77778,12.426,111.378339233988
